iter	Passed	Remaining
0	173	173335
1	186	93055
2	196	65411
3	208	51881
4	220	43811
5	229	38063
6	240	34125
7	251	31180
8	261	28756
9	271	26918
10	280	25252
11	291	23964
12	301	22873
13	310	21860
14	321	21084
15	330	20304
16	340	19697
17	350	19135
18	360	18590
19	373	18302
20	382	17852
21	392	17434
22	402	17084
23	411	16729
24	421	16428
25	430	16132
26	440	15873
27	450	15629
28	459	15382
29	470	15223
30	479	15001
31	490	14823
32	499	14637
33	509	14469
34	519	14324
35	528	14151
36	538	14025
37	549	13902
38	558	13753
39	569	13673
40	579	13550
41	588	13423
42	598	13324
43	607	13203
44	617	13112
45	626	12989
46	635	12894
47	646	12817
48	655	12731
49	670	12747
50	684	12736
51	693	12651
52	703	12564
53	712	12486
54	722	12409
55	732	12353
56	742	12276
57	752	12218
58	762	12160
59	772	12102
60	783	12055
61	792	11990
62	801	11918
63	811	11864
64	820	11797
65	829	11744
66	838	11679
67	848	11628
68	858	11578
69	867	11523
70	876	11472
71	886	11423
72	896	11381
73	905	11328
74	915	11286
75	924	11239
76	933	11186
77	943	11151
78	952	11100
79	962	11067
80	970	11012
81	980	10975
82	990	10946
83	999	10902
84	1009	10871
85	1018	10826
86	1028	10797
87	1038	10758
88	1046	10715
89	1058	10698
90	1067	10660
91	1076	10628
92	1085	10584
93	1095	10555
94	1105	10528
95	1113	10488
96	1123	10462
97	1133	10428
98	1143	10405
99	1153	10377
100	1164	10366
101	1240	10920
102	1249	10878
103	1259	10855
104	1269	10820
105	1278	10782
106	1289	10757
107	1297	10719
108	1307	10688
109	1316	10653
110	1325	10615
111	1336	10592
112	1345	10559
113	1355	10535
114	1364	10497
115	1374	10471
116	1382	10436
117	1392	10408
118	1402	10380
119	1410	10344
120	1421	10323
121	1429	10288
122	1439	10263
123	1449	10237
124	1459	10219
125	1470	10197
126	1478	10165
127	1489	10146
128	1499	10123
129	1508	10093
130	1517	10068
131	1526	10040
132	1536	10017
133	1545	9987
134	1554	9963
135	1564	9939
136	1574	9918
137	1585	9900
138	1594	9879
139	1604	9858
140	1614	9837
141	1623	9811
142	1634	9793
143	1645	9780
144	1654	9757
145	1664	9737
146	1673	9709
147	1683	9691
148	1691	9662
149	1701	9643
150	1710	9617
151	1719	9592
152	1729	9572
153	1738	9547
154	1749	9538
155	1758	9514
156	1767	9492
157	1777	9472
158	1786	9447
159	1797	9434
160	1805	9410
161	1815	9393
162	1825	9372
163	1834	9352
164	1844	9335
165	1853	9312
166	1863	9293
167	1872	9271
168	1882	9254
169	1891	9234
170	1900	9214
171	1910	9198
172	1919	9174
173	1929	9158
174	1938	9138
175	1948	9124
176	1959	9109
177	1967	9086
178	1977	9070
179	1986	9049
180	1999	9046
181	2009	9032
182	2018	9010
183	2028	8993
184	2036	8971
185	2045	8953
186	2056	8939
187	2066	8923
188	2075	8907
189	2084	8886
190	2094	8872
191	2104	8854
192	2113	8836
193	2122	8817
194	2132	8801
195	2143	8790
196	2152	8772
197	2162	8757
198	2171	8741
199	2180	8721
200	2190	8707
201	2198	8685
202	2209	8673
203	2219	8659
204	2227	8639
205	2237	8623
206	2245	8603
207	2257	8594
208	2266	8577
209	2276	8562
210	2286	8549
211	2295	8531
212	2305	8518
213	2314	8501
214	2324	8488
215	2333	8470
216	2342	8453
217	2352	8438
218	2361	8421
219	2371	8408
220	2380	8389
221	2391	8381
222	2401	8366
223	2410	8349
224	2420	8336
225	2428	8317
226	2440	8309
227	2449	8294
228	2458	8276
229	2468	8264
230	2477	8246
231	2486	8232
232	2496	8217
233	2505	8201
234	2515	8189
235	2524	8171
236	2535	8164
237	2546	8152
238	2555	8137
239	2565	8125
240	2574	8107
241	2583	8093
242	2592	8076
243	2602	8062
244	2612	8050
245	2622	8037
246	2635	8034
247	2647	8029
248	2658	8018
249	2668	8006
250	2679	7995
251	2687	7978
252	2698	7966
253	2706	7947
254	2715	7934
255	2726	7924
256	2735	7908
257	2747	7900
258	2756	7885
259	2765	7872
260	2778	7865
261	2787	7850
262	2796	7837
263	2806	7824
264	2815	7809
265	2825	7795
266	2834	7780
267	2844	7770
268	2853	7753
269	2863	7742
270	2872	7727
271	2881	7712
272	2891	7700
273	2900	7685
274	2911	7676
275	2921	7664
276	2930	7648
277	2940	7635
278	2948	7619
279	2959	7608
280	2968	7595
281	2978	7582
282	2988	7571
283	2997	7556
284	3006	7543
285	3015	7528
286	3025	7517
287	3034	7501
288	3045	7493
289	3055	7481
290	3065	7467
291	3074	7455
292	3083	7440
293	3093	7428
294	3102	7414
295	3111	7401
296	3121	7388
297	3130	7374
298	3141	7364
299	3149	7348
300	3159	7336
301	3170	7328
302	3179	7313
303	3190	7304
304	3201	7294
305	3210	7280
306	3221	7272
307	3270	7347
308	3329	7444
309	3384	7533
310	3411	7558
311	3478	7669
312	3509	7702
313	3538	7729
314	3566	7755
315	3592	7776
316	3610	7779
317	3622	7768
318	3632	7754
319	3642	7740
320	3653	7727
321	3662	7710
322	3672	7698
323	3683	7685
324	3692	7668
325	3702	7655
326	3713	7642
